,Country,Year,birth%,Count
262,Costa Rica,2005,60.2,32
263,Costa Rica,2006,61.4,32
264,Costa Rica,2007,63.1,32
265,Costa Rica,2008,64.6,32
266,Costa Rica,2009,66.6,32
267,Costa Rica,2010,67.4,32
268,Costa Rica,2011,68.2,32
269,Costa Rica,2012,69.4,32
270,Costa Rica,2013,69.3,32
271,Costa Rica,2014,69.4,32
272,Croatia,1960,7.4,55
273,Croatia,1961,7.1,55
274,Croatia,1962,6.5,55
275,Croatia,1963,6.9,55
276,Croatia,1964,6.8,55
277,Croatia,1965,6.0,55
278,Croatia,1966,5.7,55
279,Croatia,1967,5.4,55
280,Croatia,1968,5.5,55
281,Croatia,1969,5.6,55
282,Croatia,1970,5.4,55
283,Croatia,1971,5.2,55
284,Croatia,1972,5.2,55
285,Croatia,1973,5.0,55
286,Croatia,1974,5.0,55
287,Croatia,1975,4.9,55
288,Croatia,1976,4.9,55
289,Croatia,1977,4.8,55
290,Croatia,1978,4.7,55
291,Croatia,1979,5.1,55
292,Croatia,1980,5.1,55
293,Croatia,1981,5.2,55
294,Croatia,1982,5.4,55
295,Croatia,1983,5.5,55
296,Croatia,1984,5.5,55
297,Croatia,1985,5.9,55
298,Croatia,1986,6.2,55
299,Croatia,1987,6.4,55
300,Croatia,1988,6.3,55
301,Croatia,1989,6.6,55
302,Croatia,1990,7.0,55
303,Croatia,1991,7.5,55
304,Croatia,1992,7.7,55
305,Croatia,1993,7.7,55
306,Croatia,1994,7.6,55
307,Croatia,1995,7.5,55
308,Croatia,1996,7.1,55
309,Croatia,1997,7.3,55
310,Croatia,1998,8.1,55
311,Croatia,1999,8.2,55
312,Croatia,2000,9.0,55
313,Croatia,2001,9.4,55
314,Croatia,2002,9.6,55
315,Croatia,2003,10.1,55
316,Croatia,2004,10.4,55
317,Croatia,2005,10.5,55
318,Croatia,2006,11.0,55
319,Croatia,2007,11.5,55
320,Croatia,2008,12.0,55
321,Croatia,2009,12.9,55
322,Croatia,2010,13.3,55
323,Croatia,2011,14.0,55
324,Croatia,2012,15.4,55
325,Croatia,2013,16.1,55
326,Croatia,2014,17.4,55
327,Cyprus,1961,0.3,52
328,Cyprus,1962,0.2,52
329,Cyprus,1963,0.1,52
330,Cyprus,1964,0.0,52
331,Cyprus,1965,0.1,52
332,Cyprus,1966,0.1,52
333,Cyprus,1967,0.2,52
334,Cyprus,1968,0.3,52
335,Cyprus,1969,0.3,52
336,Cyprus,1970,0.2,52
337,Cyprus,1971,0.4,52
338,Cyprus,1972,0.4,52
339,Cyprus,1973,0.4,52
340,Cyprus,1974,0.5,52
341,Cyprus,1975,0.7,52
342,Cyprus,1976,0.3,52
343,Cyprus,1977,0.1,52
344,Cyprus,1978,0.3,52
345,Cyprus,1979,0.4,52
346,Cyprus,1980,0.6,52
347,Cyprus,1981,0.5,52
348,Cyprus,1982,0.2,52
349,Cyprus,1983,0.3,52
350,Cyprus,1984,0.4,52
351,Cyprus,1985,0.4,52
352,Cyprus,1986,0.5,52
353,Cyprus,1987,0.6,52
354,Cyprus,1988,0.7,52
355,Cyprus,1989,0.7,52
356,Cyprus,1990,0.7,52
357,Cyprus,1991,0.8,52
358,Cyprus,1992,1.1,52
359,Cyprus,1993,0.8,52
360,Cyprus,1994,1.0,52
361,Cyprus,1995,1.4,52
362,Cyprus,1996,1.5,52
363,Cyprus,1997,1.6,52
364,Cyprus,1998,2.1,52
365,Cyprus,1999,2.2,52
366,Cyprus,2000,2.3,52
367,Cyprus,2001,2.5,52
368,Cyprus,2002,3.5,52
369,Cyprus,2003,3.5,52
370,Cyprus,2004,3.3,52
371,Cyprus,2005,4.4,52
372,Cyprus,2006,5.6,52
373,Cyprus,2007,8.7,52
374,Cyprus,2008,8.9,52
375,Cyprus,2009,11.7,52
376,Cyprus,2010,15.2,52
377,Cyprus,2011,16.9,52
378,Cyprus,2012,18.6,52
379,Czech Republic,1960,4.9,55
380,Czech Republic,1961,4.6,55
381,Czech Republic,1962,4.5,55
382,Czech Republic,1963,4.7,55
383,Czech Republic,1964,4.8,55
384,Czech Republic,1965,5.0,55
385,Czech Republic,1966,5.3,55
386,Czech Republic,1967,5.3,55
387,Czech Republic,1968,5.4,55
388,Czech Republic,1969,5.5,55
389,Czech Republic,1970,5.4,55
390,Czech Republic,1971,5.3,55
391,Czech Republic,1972,5.0,55
392,Czech Republic,1973,4.4,55
393,Czech Republic,1974,4.3,55
394,Czech Republic,1975,4.5,55
395,Czech Republic,1976,4.5,55
396,Czech Republic,1977,4.6,55
397,Czech Republic,1978,4.7,55
398,Czech Republic,1979,5.0,55
399,Czech Republic,1980,5.6,55
400,Czech Republic,1981,5.8,55
401,Czech Republic,1982,6.4,55
402,Czech Republic,1983,6.8,55
403,Czech Republic,1984,7.2,55
404,Czech Republic,1985,7.3,55
405,Czech Republic,1986,7.4,55
406,Czech Republic,1987,7.2,55
407,Czech Republic,1988,7.5,55
408,Czech Republic,1989,7.9,55
409,Czech Republic,1990,8.6,55
410,Czech Republic,1991,9.8,55
411,Czech Republic,1992,10.7,55
412,Czech Republic,1993,12.7,55
413,Czech Republic,1994,14.5,55
414,Czech Republic,1995,15.6,55
415,Czech Republic,1996,16.9,55
416,Czech Republic,1997,17.8,55
417,Czech Republic,1998,19.0,55
418,Czech Republic,1999,20.6,55
419,Czech Republic,2000,21.8,55
420,Czech Republic,2001,23.5,55
421,Czech Republic,2002,25.3,55
422,Czech Republic,2003,28.5,55
423,Czech Republic,2004,30.6,55
424,Czech Republic,2005,31.7,55
425,Czech Republic,2006,33.3,55
426,Czech Republic,2007,34.5,55
427,Czech Republic,2008,36.3,55
428,Czech Republic,2009,38.8,55
429,Czech Republic,2010,40.3,55
430,Czech Republic,2011,41.8,55
431,Czech Republic,2012,43.4,55
432,Czech Republic,2013,45.0,55
433,Czech Republic,2014,46.7,55
434,Denmark,1960,7.8,55
435,Denmark,1961,8.0,55
436,Denmark,1962,8.3,55
437,Denmark,1963,8.9,55
438,Denmark,1964,9.3,55
439,Denmark,1965,9.5,55
440,Denmark,1966,10.2,55
441,Denmark,1967,11.1,55
442,Denmark,1968,11.1,55
443,Denmark,1969,11.3,55
444,Denmark,1970,11.0,55
445,Denmark,1971,12.3,55
446,Denmark,1972,14.4,55
447,Denmark,1973,17.1,55
448,Denmark,1974,18.8,55
449,Denmark,1975,21.7,55
450,Denmark,1976,24.0,55
451,Denmark,1977,25.9,55
452,Denmark,1978,27.9,55
453,Denmark,1979,30.7,55
454,Denmark,1980,33.2,55
455,Denmark,1981,35.7,55
456,Denmark,1982,38.3,55
457,Denmark,1983,40.6,55
458,Denmark,1984,41.9,55
459,Denmark,1985,43.0,55
460,Denmark,1986,43.9,55
461,Denmark,1987,44.5,55
462,Denmark,1988,44.7,55
463,Denmark,1989,46.1,55
464,Denmark,1990,46.4,55
465,Denmark,1991,46.5,55
466,Denmark,1992,46.4,55
467,Denmark,1993,46.8,55
468,Denmark,1994,46.9,55
469,Denmark,1995,46.5,55
470,Denmark,1996,46.3,55
471,Denmark,1997,45.1,55
472,Denmark,1998,44.8,55
473,Denmark,1999,44.9,55
474,Denmark,2000,44.6,55
475,Denmark,2001,44.6,55
476,Denmark,2002,44.6,55
477,Denmark,2003,44.9,55
478,Denmark,2004,45.4,55
479,Denmark,2005,45.7,55
480,Denmark,2006,46.4,55
481,Denmark,2007,46.1,55
482,Denmark,2008,46.2,55
483,Denmark,2009,46.8,55
484,Denmark,2010,47.3,55
485,Denmark,2011,49.0,55
486,Denmark,2012,50.6,55
487,Denmark,2013,51.5,55
488,Denmark,2014,52.5,55
489,Estonia,1989,25.3,24
490,Estonia,1990,27.2,24
491,Estonia,1991,31.2,24
492,Estonia,1992,33.9,24
493,Estonia,1993,38.2,24
494,Estonia,1994,41.0,24
495,Estonia,1995,44.2,24
496,Estonia,1996,48.1,24
497,Estonia,1997,51.6,24
498,Estonia,1998,52.5,24
499,Estonia,1999,54.2,24
500,Estonia,2000,54.5,24
501,Estonia,2001,56.2,24
502,Estonia,2002,56.3,24
503,Estonia,2003,57.8,24
504,Estonia,2004,58.0,24
505,Estonia,2005,58.5,24
506,Estonia,2006,58.2,24
507,Estonia,2007,57.8,24
508,Estonia,2008,59.0,24
509,Estonia,2009,59.2,24
510,Estonia,2010,59.1,24
511,Estonia,2011,59.7,24
512,Estonia,2012,58.4,24
513,Finland,1960,4.0,55
514,Finland,1961,4.1,55
515,Finland,1962,4.0,55
516,Finland,1963,4.2,55
517,Finland,1964,4.4,55
518,Finland,1965,4.6,55
519,Finland,1966,4.8,55
520,Finland,1967,5.1,55
521,Finland,1968,5.3,55
522,Finland,1969,5.6,55
523,Finland,1970,5.8,55
524,Finland,1971,5.5,55
525,Finland,1972,6.7,55
526,Finland,1973,7.9,55
527,Finland,1974,9.0,55
528,Finland,1975,10.1,55
529,Finland,1976,10.9,55
530,Finland,1977,11.1,55
531,Finland,1978,11.4,55
532,Finland,1979,12.0,55
533,Finland,1980,13.1,55
534,Finland,1981,13.3,55
535,Finland,1982,13.6,55
536,Finland,1983,14.0,55
537,Finland,1984,15.1,55
538,Finland,1985,16.4,55
539,Finland,1986,18.0,55
540,Finland,1987,19.2,55
541,Finland,1988,20.6,55
542,Finland,1989,22.9,55
543,Finland,1990,25.2,55
544,Finland,1991,27.4,55
545,Finland,1992,28.9,55
546,Finland,1993,30.3,55
547,Finland,1994,31.3,55
548,Finland,1995,33.1,55
549,Finland,1996,35.4,55
550,Finland,1997,36.5,55
551,Finland,1998,37.2,55
552,Finland,1999,38.7,55
553,Finland,2000,39.2,55
554,Finland,2001,39.5,55
555,Finland,2002,39.9,55
556,Finland,2003,40.0,55
557,Finland,2004,40.8,55
558,Finland,2005,40.4,55
559,Finland,2006,40.5,55
560,Finland,2007,40.6,55
561,Finland,2008,40.7,55
562,Finland,2009,40.9,55
563,Finland,2010,41.1,55
564,Finland,2011,40.9,55
565,Finland,2012,41.5,55
566,Finland,2013,42.1,55
567,Finland,2014,42.8,55
568,France,1998,41.7,15
569,France,1999,42.7,15
570,France,2000,43.6,15
571,France,2001,44.7,15
572,France,2002,45.2,15
573,France,2003,46.2,15
574,France,2004,47.4,15
575,France,2005,48.4,15
576,France,2006,50.5,15
577,France,2007,51.7,15
578,France,2008,52.6,15
579,France,2009,53.7,15
580,France,2010,55.0,15
581,France,2011,55.8,15
582,France,2012,56.7,15
583,Germany,1960,7.6,55
584,Germany,1961,7.1,55
585,Germany,1962,6.6,55
586,Germany,1963,6.1,55
587,Germany,1964,5.9,55
588,Germany,1965,5.8,55
589,Germany,1966,5.7,55
590,Germany,1967,5.8,55
591,Germany,1968,6.1,55
592,Germany,1969,6.6,55
593,Germany,1970,7.2,55
594,Germany,1971,8.0,55
595,Germany,1972,8.3,55
596,Germany,1973,8.3,55
597,Germany,1974,8.5,55
598,Germany,1975,8.5,55
599,Germany,1976,8.8,55
600,Germany,1977,9.0,55
601,Germany,1978,9.9,55
602,Germany,1979,10.7,55
603,Germany,1980,11.9,55
604,Germany,1981,12.8,55
605,Germany,1982,14.3,55
606,Germany,1983,15.4,55
607,Germany,1984,15.9,55
608,Germany,1985,16.2,55
609,Germany,1986,16.1,55
610,Germany,1987,15.7,55
611,Germany,1988,15.7,55
612,Germany,1989,15.5,55
613,Germany,1990,15.3,55
614,Germany,1991,15.1,55
615,Germany,1992,14.9,55
616,Germany,1993,14.8,55
617,Germany,1994,15.4,55
618,Germany,1995,16.1,55
619,Germany,1996,17.0,55
620,Germany,1997,18.0,55
621,Germany,1998,20.0,55
622,Germany,1999,22.1,55
623,Germany,2000,23.4,55
624,Germany,2001,25.0,55
625,Germany,2002,26.1,55
626,Germany,2003,27.0,55
627,Germany,2004,27.9,55
628,Germany,2005,29.2,55
629,Germany,2006,30.0,55
630,Germany,2007,30.8,55
631,Germany,2008,32.1,55
632,Germany,2009,32.7,55
633,Germany,2010,33.3,55
634,Germany,2011,33.9,55
635,Germany,2012,34.5,55
636,Germany,2013,34.8,55
637,Germany,2014,35.0,55
638,Greece,1960,1.2,55
639,Greece,1961,1.2,55
640,Greece,1962,1.2,55
641,Greece,1963,1.2,55
642,Greece,1964,1.1,55
643,Greece,1965,1.1,55
644,Greece,1966,1.0,55
645,Greece,1967,1.0,55
646,Greece,1968,1.1,55
647,Greece,1969,1.1,55
648,Greece,1970,1.1,55
649,Greece,1971,1.2,55
650,Greece,1972,1.2,55
651,Greece,1973,1.3,55
652,Greece,1974,1.2,55
653,Greece,1975,1.3,55
654,Greece,1976,1.3,55
655,Greece,1977,1.3,55
656,Greece,1978,1.4,55
657,Greece,1979,1.4,55
658,Greece,1980,1.5,55
659,Greece,1981,1.6,55
660,Greece,1982,1.5,55
661,Greece,1983,1.6,55
662,Greece,1984,1.7,55
663,Greece,1985,1.8,55
664,Greece,1986,1.8,55
665,Greece,1987,2.1,55
666,Greece,1988,2.1,55
667,Greece,1989,2.1,55
668,Greece,1990,2.2,55
669,Greece,1991,2.4,55
670,Greece,1992,2.6,55
671,Greece,1993,2.8,55
672,Greece,1994,2.9,55
673,Greece,1995,3.0,55
674,Greece,1996,3.3,55
675,Greece,1997,3.5,55
676,Greece,1998,3.8,55
677,Greece,1999,3.9,55
678,Greece,2000,4.0,55
679,Greece,2001,4.3,55
680,Greece,2002,4.4,55
681,Greece,2003,4.8,55
682,Greece,2004,5.1,55
683,Greece,2005,5.1,55
684,Greece,2006,5.3,55
685,Greece,2007,5.8,55
686,Greece,2008,5.9,55
687,Greece,2009,6.6,55
688,Greece,2010,7.3,55
689,Greece,2011,7.4,55
690,Greece,2012,7.6,55
691,Greece,2013,7.0,55
692,Greece,2014,8.2,55
693,Hungary,1960,5.5,55
694,Hungary,1961,5.5,55
695,Hungary,1962,5.4,55
696,Hungary,1963,5.3,55
697,Hungary,1964,5.2,55
698,Hungary,1965,5.2,55
699,Hungary,1966,5.1,55
700,Hungary,1967,5.0,55
701,Hungary,1968,5.0,55
702,Hungary,1969,5.2,55
703,Hungary,1970,5.4,55
704,Hungary,1971,5.8,55
705,Hungary,1972,6.0,55
706,Hungary,1973,5.9,55
707,Hungary,1974,5.7,55
708,Hungary,1975,5.6,55
709,Hungary,1976,5.7,55
710,Hungary,1977,5.9,55
711,Hungary,1978,6.3,55
712,Hungary,1979,6.6,55
713,Hungary,1980,7.1,55
714,Hungary,1981,7.4,55
715,Hungary,1982,7.7,55
716,Hungary,1983,8.3,55
717,Hungary,1984,8.8,55
718,Hungary,1985,9.2,55
719,Hungary,1986,9.5,55
720,Hungary,1987,10.4,55
721,Hungary,1988,11.9,55
722,Hungary,1989,12.4,55
723,Hungary,1990,13.1,55
724,Hungary,1991,14.1,55
725,Hungary,1992,15.6,55
726,Hungary,1993,17.6,55
727,Hungary,1994,19.4,55
728,Hungary,1995,20.7,55
729,Hungary,1996,22.6,55
730,Hungary,1997,25.0,55
731,Hungary,1998,26.6,55
732,Hungary,1999,28.0,55
733,Hungary,2000,29.0,55
734,Hungary,2001,30.3,55
735,Hungary,2002,31.4,55
736,Hungary,2003,32.3,55
737,Hungary,2004,34.0,55
738,Hungary,2005,35.0,55
739,Hungary,2006,35.6,55
740,Hungary,2007,37.5,55
741,Hungary,2008,39.5,55
742,Hungary,2009,40.8,55
743,Hungary,2010,40.8,55
744,Hungary,2011,42.3,55
745,Hungary,2012,44.5,55
746,Hungary,2013,45.6,55
747,Hungary,2014,47.3,55
748,Iceland,1960,25.3,53
749,Iceland,1961,25.3,53
750,Iceland,1962,24.5,53
751,Iceland,1963,25.1,53
752,Iceland,1964,26.7,53
753,Iceland,1965,26.9,53
754,Iceland,1966,28.4,53
755,Iceland,1967,30.0,53
756,Iceland,1968,30.5,53
757,Iceland,1969,29.6,53
758,Iceland,1970,29.9,53
759,Iceland,1971,31.1,53
760,Iceland,1972,32.3,53
761,Iceland,1973,33.9,53
762,Iceland,1974,33.7,53
763,Iceland,1975,33.0,53
764,Iceland,1976,34.2,53
765,Iceland,1977,36.0,53
766,Iceland,1978,36.7,53
767,Iceland,1979,36.6,53
768,Iceland,1980,39.7,53
769,Iceland,1981,41.2,53
770,Iceland,1982,44.6,53
771,Iceland,1983,45.0,53
772,Iceland,1984,47.1,53
773,Iceland,1985,48.0,53
774,Iceland,1986,50.8,53
775,Iceland,1987,50.1,53
776,Iceland,1988,52.0,53
777,Iceland,1989,52.9,53
778,Iceland,1990,55.2,53
779,Iceland,1991,56.4,53
780,Iceland,1992,57.3,53
781,Iceland,1993,58.3,53
782,Iceland,1994,59.6,53
783,Iceland,1995,60.9,53
784,Iceland,1996,60.7,53
785,Iceland,1997,65.2,53
786,Iceland,1998,64.0,53
787,Iceland,1999,62.4,53
788,Iceland,2000,65.2,53
789,Iceland,2001,63.0,53
790,Iceland,2002,62.3,53
791,Iceland,2003,63.6,53
792,Iceland,2004,63.7,53
793,Iceland,2005,65.7,53
794,Iceland,2006,65.6,53
795,Iceland,2007,63.8,53
796,Iceland,2008,64.1,53
797,Iceland,2009,64.4,53
798,Iceland,2010,64.3,53
799,Iceland,2011,65.0,53
800,Iceland,2012,66.9,53
801,Ireland,1960,1.6,53
802,Ireland,1961,1.6,53
803,Ireland,1962,1.8,53
804,Ireland,1963,1.8,53
805,Ireland,1964,2.0,53
806,Ireland,1965,2.2,53
807,Ireland,1966,2.3,53
808,Ireland,1967,2.5,53
809,Ireland,1968,2.6,53
810,Ireland,1969,2.6,53
811,Ireland,1970,2.7,53
812,Ireland,1971,2.7,53
813,Ireland,1972,2.9,53
814,Ireland,1973,3.2,53
815,Ireland,1974,3.4,53
816,Ireland,1975,3.7,53
817,Ireland,1976,3.8,53
818,Ireland,1977,4.2,53
819,Ireland,1978,4.3,53
820,Ireland,1979,4.6,53
821,Ireland,1980,5.9,53
822,Ireland,1981,6.2,53
823,Ireland,1982,7.2,53
824,Ireland,1983,7.9,53
825,Ireland,1984,8.0,53
826,Ireland,1985,8.5,53
827,Ireland,1986,9.6,53
828,Ireland,1987,10.9,53
829,Ireland,1988,11.9,53
830,Ireland,1989,12.8,53
831,Ireland,1990,14.6,53
832,Ireland,1991,16.9,53
833,Ireland,1992,18.0,53
834,Ireland,1993,19.9,53
835,Ireland,1994,20.8,53
836,Ireland,1995,22.3,53
837,Ireland,1996,25.3,53
838,Ireland,1997,26.8,53
839,Ireland,1998,28.7,53
840,Ireland,1999,31.1,53
841,Ireland,2000,31.5,53
842,Ireland,2001,31.3,53
843,Ireland,2002,31.2,53
844,Ireland,2003,31.2,53
845,Ireland,2004,31.9,53
846,Ireland,2005,31.8,53
847,Ireland,2006,32.7,53
848,Ireland,2007,33.1,53
849,Ireland,2008,33.4,53
850,Ireland,2009,33.4,53
851,Ireland,2010,33.8,53
852,Ireland,2011,33.9,53
853,Ireland,2012,35.1,53
854,Israel,2002,5.3,13
855,Israel,2003,5.8,13
856,Israel,2004,5.6,13
857,Israel,2005,5.5,13
858,Israel,2006,5.6,13
859,Israel,2007,5.6,13
860,Israel,2008,5.7,13
861,Israel,2009,5.8,13
862,Israel,2010,5.8,13
863,Israel,2011,6.0,13
864,Israel,2012,5.8,13
865,Israel,2013,6.1,13
866,Israel,2014,6.3,13
867,Italy,1960,2.4,54
868,Italy,1961,2.4,54
869,Italy,1962,2.2,54
870,Italy,1963,2.2,54
871,Italy,1964,2.0,54
872,Italy,1965,2.0,54
873,Italy,1966,2.0,54
